enName,newCases,weight,YTDweight,myName,zhName,location,status,Deaths,index case,Other notes
Total,0,,,Total,Total,,active,,,
Tawar Empat,3,12.0,9.0,Tawar Empat,Tawar Empat,Kota Tinggi,active,0.0,,
Tapak Bina Wangsa Perdana,27,27.0,,Tapak Bina Wangsa Perdana,Tapak Bina Wangsa Perdana,Titiwangsa,active,0.0,,
Tanjung Kepah,5,27.0,22.0,Tanjung Kepah,Tanjung Kepah,Manjung,active,0.0,,
Sri Gombak Lapan,2,22.0,20.0,Sri Gombak Lapan,Sri Gombak Lapan,Gombak,active,0.0,,
Seksyen Dua,1,11.0,10.0,Seksyen Dua,Seksyen Dua,Titiwangsa,active,0.0,,
Perusahaan Valdor,21,71.0,50.0,Perusahaan Valdor,Perusahaan Valdor,Seberang Perai Selatan,active,0.0,,
Perusahaan Satu Batu Caves,3,10.0,7.0,Perusahaan Satu Batu Caves,Perusahaan Satu Batu Caves,Gombak,active,0.0,,
Persiaran Sepang Sebelas,6,39.0,33.0,Persiaran Sepang Sebelas,Persiaran Sepang Sebelas,Sepang,active,0.0,,
Kemumin,9,29.0,20.0,Kemumin,Kemumin,"Kota Bharu, Bachok",active,0.0,,
Kampung Teliar,1,12.0,11.0,Kampung Teliar,Kampung Teliar,Pasir Mas,active,0.0,,
Kampung Chubadak,3,23.0,20.0,Kampung Chubadak,Kampung Chubadak,Kepong,active,0.0,,
Kampung Chekok,3,11.0,8.0,Kampung Chekok,Kampung Chekok,Machang,active,0.0,,
Jalan Seroja Kepis,2,59.0,57.0,Jalan Seroja Kepis,Jalan Seroja Kepis,"Jempol, Kuala Pilah",active,0.0,,
Jalan Satu Olak,2,14.0,12.0,Jalan Satu Olak,Jalan Satu Olak,"Kuala Langat, Petaling",active,0.0,,
Jalan Padi,2,30.0,28.0,Jalan Padi,Jalan Padi,"Jelebu, Tampin",active,0.0,,
Jalan Kampung Bukit,13,15.0,2.0,Jalan Kampung Bukit,Jalan Kampung Bukit,Barat Daya,active,0.0,,
Jalan Hospital Tampoi,78,81.0,3.0,Jalan Hospital Tampoi,Jalan Hospital Tampoi,Johor Bahru,active,0.0,,
DTI Bukit Jalil 2,41,41.0,,DTI Bukit Jalil 2,DTI Bukit Jalil 2,Cheras,active,0.0,,
Dah Pinang,1,31.0,30.0,Dah Pinang,Dah Pinang,Kota Setar,active,0.0,,
Dah Emas Suria,1,37.0,36.0,Dah Emas Suria,Dah Emas Suria,"Kuala Muda, Langkawi",active,0.0,,
Bukit Ilmu,13,17.0,4.0,Bukit Ilmu,Bukit Ilmu,"Bachok, Machang",active,0.0,,
Jalan Pinang 39,5,21.0,16.0,Jalan Pinang 39,Jalan Pinang 39,Johor Bahru,active,0.0,,
Jalan Wawasan Tanjung,0,16.0,16.0,Jalan Wawasan Tanjung,Jalan Wawasan Tanjung,Kota Tinggi dan Johor Bahru,active,0.0,,
Serom Lima,4,23.0,19.0,Serom Lima,Serom Lima,Tangkak,active,0.0,,
Jalan Rusa Waha,0,23.0,23.0,Jalan Rusa Waha,Jalan Rusa Waha,Kota Tinggi dan Johor Bahru,active,,,
Sri Sentosa,3,27.0,24.0,Sri Sentosa,Sri Sentosa,Bachok,active,,,
Telok Kemunting,1,20.0,19.0,Telok Kemunting,Telok Kemunting,Bachok,active,,,
Kampung Banggol Petaling,0,21.0,21.0,Kampung Banggol Petaling,Kampung Banggol Petaling,Pasir Mas,active,,,
Desa Ranggu,0,18.0,18.0,Desa Ranggu,Desa Ranggu,Tawau,active,,,
Beg Berkunci,0,12.0,12.0,Beg Berkunci,Beg Berkunci,Hulu Selangor,active,,,
Persiaran Kuala 2,0,32.0,32.0,Persiaran Kuala 2,Persiaran Kuala 2,"Petaling, Klang, Gombak, dan Kuala Langat",active,,,
Selumit,0,19.0,19.0,Selumit,Selumit,Sibu dan Tanjung Manis,active,,,
Sri Mahang,7,31.0,24.0,Sri Mahang,Sri Mahang,Kota Bharu dan Pasir Puteh,active,,,
Jalan Tahana Industri,1,7.0,6.0,Jalan Tahana Industri,Jalan Tahana Industri,Johor Bahru,active,,,
Taman Shamelin,0,31.0,31.0,Taman Shamelin,Taman Shamelin,Cheras,active,,,
Batu Sepuluh Jalan Gambang,34,41.0,7.0,Batu Sepuluh Jalan Gambang,Batu Sepuluh Jalan Gambang,Kuantan,active,,,
Tebuk Binjai,0,14.0,14.0,Tebuk Binjai,Tebuk Binjai,Sabak Bernam,active,,,
Jalan Syawal,0,10.0,10.0,Jalan Syawal,Jalan Syawal,Jerantut,active,,,
Jalan Cenderawasih,16,96.0,80.0,Jalan Cenderawasih,Jalan Cenderawasih,Kinta dan Kuala Kangsar,active,,,
DTI Tanah Merah,6,111.0,105.0,DTI Tanah Merah,DTI Tanah Merah,Tanah Merah,active,,,
Jalan Kolej Yayasan,6,22.0,16.0,Jalan Kolej Yayasan,Jalan Kolej Yayasan,Alor Gajah,active,,,
Kampung Tun Abdul Razak,0,9.0,9.0,Kampung Tun Abdul Razak,Kampung Tun Abdul Razak,Hulu Selangor,active,,,
Jalan Bersatu,0,11.0,11.0,Jalan Bersatu,Jalan Bersatu,Klang,active,,,
Meranti Jaya 2,1,24.0,23.0,Meranti Jaya 2,Meranti Jaya 2,"Sepang, Petaling",active,,,
Jalan Sukma,0,10.0,10.0,Jalan Sukma,Jalan Sukma,"Kuching, Samarahan",active,,,
Jalan Bukit Satu,0,7.0,7.0,Jalan Bukit Satu,Jalan Bukit Satu,Johor Bahru,active,,,
Jalan Satu Ayer Hitam,0,13.0,13.0,Jalan Satu Ayer Hitam,Jalan Satu Ayer Hitam,"Batu Pahat, Kluang",active,,,
Jalan Tengar Industri,0,8.0,8.0,Jalan Tengar Industri,Jalan Tengar Industri,Johor Bahru,active,,,
Jalan Temenggung Dua,31,58.0,27.0,Jalan Temenggung Dua,Jalan Temenggung Dua,Johor Bahru,active,,,
Industri Zon Dagang Satu,22,207.0,185.0,Industri Zon Dagang Satu,Industri Zon Dagang Satu,"Seberang Perai Utara, Seberang Perai Tengah, Seberang Perai Selatan, Barat Daya, Timur Laut",active,,,
Perusahaan Maju Sepuluh,0,25.0,25.0,Perusahaan Maju Sepuluh,Perusahaan Maju Sepuluh,"Seberang Perai Utara, Seberang Perai Tengah, Seberang Perai Selatan",active,,,
Jalan Cassia Selatan Lima,38,77.0,39.0,Jalan Cassia Selatan Lima,Jalan Cassia Selatan Lima,"Seberang Perai Selatan, Timur Laut",active,,,
Jalan IKA,1,38.0,37.0,Jalan IKA,Jalan IKA,"Larut, Matang, Selama, Kuala Kangsar",active,,,
Industri Kampung Tersang,3,28.0,25.0,Industri Kampung Tersang,Industri Kampung Tersang,Raub,active,,,
Kampung Semerah Padi,0,21.0,21.0,Kampung Semerah Padi,Kampung Semerah Padi,"Kuching, Asajaya",active,,,
Bandar Lama Machang,0,8.0,8.0,Bandar Lama Machang,Bandar Lama Machang,Machang,active,,,
Kampung Kenjong,0,0.0,0.0,Kampung Kenjong,Kampung Kenjong,Pasir Mas,active,,,
Sungai Pukul,1,19.0,18.0,Sungai Pukul,Sungai Pukul,Tawau,active,,,
Delima Raya,7,43.0,36.0,Delima Raya,Delima Raya,Bentong,active,,,
Kauran Durok,26,47.0,21.0,Kauran Durok,Kauran Durok,Keningau,active,,,
Lestari Mewah,0,20.0,20.0,Lestari Mewah,Lestari Mewah,"Sepang, Hulu Langat",active,,,
Jalan Harmoni Utama,0,19.0,19.0,Jalan Harmoni Utama,Jalan Harmoni Utama,Johor Bahru,active,,,
Chat Lipis,1,22.0,21.0,Chat Lipis,Chat Lipis,Lipis,active,,,
Tasek Raja,0,47.0,47.0,Tasek Raja,Tasek Raja,"Pasir Mas, Kota Bharu, Tanah Merah",active,,,
Tapak Bina Persiaran Setia Dagang,0,7.0,7.0,Tapak Bina Persiaran Setia Dagang,Tapak Bina Persiaran Setia Dagang,Petaling,active,,,
Sungai Isap Perdana,3,78.0,75.0,Sungai Isap Perdana,Sungai Isap Perdana,"Kuantan, Hulu Langat",active,,,
Perusahaan Maju Enam,2,11.0,9.0,Perusahaan Maju Enam,Perusahaan Maju Enam,Seberang Perai Tengah,active,,,
Kalabakan Selatan,2,28.0,26.0,Kalabakan Selatan,Kalabakan Selatan,Kalabakan,active,,,
Jalan Tahir Manan,7,35.0,28.0,Jalan Tahir Manan,Jalan Tahir Manan,Kuala Selangor,active,1.0,,
Jalan Selendang,0,12.0,12.0,Jalan Selendang,Jalan Selendang,Kulai,active,,,
Jalan Sekuntum,0,17.0,17.0,Jalan Sekuntum,Jalan Sekuntum,Johor Bahru,active,,,
Jalan Segambut Lentang,1,27.0,26.0,Jalan Segambut Lentang,Jalan Segambut Lentang,"Titiwangsa, Kepong",active,,,
Jalan Enam Selatan 1A,0,18.0,18.0,Jalan Enam Selatan 1A,Jalan Enam Selatan 1A,"Sepang, Petaling, Kuala Langat",active,,,
Jalan Dato Permaisuri,2,35.0,33.0,Jalan Dato Permaisuri,Jalan Dato Permaisuri,Miri,active,,,
Jalan Cemerlang Elektrik,0,18.0,18.0,Jalan Cemerlang Elektrik,Jalan Cemerlang Elektrik,Johor Bahru,active,,,
Industri Kledang Satu,0,31.0,31.0,Industri Kledang Satu,Industri Kledang Satu,Kinta,active,,,
Desa Pinggiran Putra,0,22.0,22.0,Desa Pinggiran Putra,Desa Pinggiran Putra,Sepang,active,,,
Dah Charok Bemban,2,36.0,34.0,Dah Charok Bemban,Dah Charok Bemban,"Baling, Sik",active,,,
Industri Pengkalan Balak,66,236.0,170.0,Industri Pengkalan Balak,Industri Pengkalan Balak,Alor Gajah,active,,,
Wakaf Tembesu,1,49.0,48.0,Wakaf Tembesu,Wakaf Tembesu,"Kuala Nerus, Kuala Terengganu, Setiu",active,,,
Taman Teratai,0,41.0,41.0,Taman Teratai,Taman Teratai,Lipis,active,,,
Taman Setia Jaya,51,126.0,75.0,Taman Setia Jaya,Taman Setia Jaya,"Seremban, Kuala Pilah",active,,,
Patau-Patau,0,67.0,67.0,Patau-Patau,Patau-Patau,Labuan,active,,,
Landai Permai,19,84.0,65.0,Landai Permai,Landai Permai,Cheras,active,2.0,,
Kilometer Enam Jalan Lipis,8,46.0,38.0,Kilometer Enam Jalan Lipis,Kilometer Enam Jalan Lipis,"Raub, Temerloh, Lipis, Cheras",active,,,
Kampung Pangkal Payung,1,20.0,19.0,Kampung Pangkal Payung,Kampung Pangkal Payung,"Machang, Kota Bharu, Tanah Merah",active,,,
Kampung Padawan,14,32.0,18.0,Kampung Padawan,Kampung Padawan,"Papar, Kota Kinabalu",active,,,
Jalan Usaha Tujuh,2,48.0,46.0,Jalan Usaha Tujuh,Jalan Usaha Tujuh,"Melaka Tengah, Alor Gajah, Jasin",active,,,
Jalan Todak,0,27.0,27.0,Jalan Todak,Jalan Todak,Seberang Perai Tengah,active,,,
Jalan Tengkorak,1,20.0,19.0,Jalan Tengkorak,Jalan Tengkorak,Kuala Selangor,active,,,
Jalan Perindustrian Bukit Minyak,0,22.0,22.0,Jalan Perindustrian Bukit Minyak,Jalan Perindustrian Bukit Minyak,Seberang Perai Tengah,active,,,
Jalan Jed,0,14.0,14.0,Jalan Jed,Jalan Jed,"Klang, Kuala Langat",active,1.0,,
Jalan Ehsan Jaya,0,28.0,28.0,Jalan Ehsan Jaya,Jalan Ehsan Jaya,Johor Bahru,active,,,
Jalan Dato Sellathevan Empat,0,91.0,91.0,Jalan Dato Sellathevan Empat,Jalan Dato Sellathevan Empat,Klang,active,,,
Jalan Bestari Satu,0,53.0,53.0,Jalan Bestari Satu,Jalan Bestari Satu,"Klang, Petaling",active,,,
Jalan Akik,0,20.0,20.0,Jalan Akik,Jalan Akik,Kota Tinggi,active,,,
Dermaga Sembilan,0,19.0,19.0,Dermaga Sembilan,Dermaga Sembilan,Johor Bahru,active,,,
Deluxe,0,12.0,12.0,Deluxe,Deluxe,"Penampang, Semporna",active,,,
Jalan Kempas Dua,0,69.0,69.0,Jalan Kempas Dua,Jalan Kempas Dua,Muar,active,,,
Persiaran Cassia Selatan Dua,0,58.0,58.0,Persiaran Cassia Selatan Dua,Persiaran Cassia Selatan Dua,Seberang Perai Selatan,active,,,
Jalan Bukit Puchong,0,38.0,38.0,Jalan Bukit Puchong,Jalan Bukit Puchong,Petaling,active,,,
Jalan Enam Selatan,5,45.0,40.0,Jalan Enam Selatan,Jalan Enam Selatan,"Sepang, Kuala Langat, Petaling, Cheras, Putrajaya, Seremban, Rembau dan Port Dickson",active,,,
Industri Bukit Minyak,0,56.0,56.0,Industri Bukit Minyak,Industri Bukit Minyak,Seberang Perai Tengah,active,,,
Kemuning Tujuh,0,26.0,26.0,Kemuning Tujuh,Kemuning Tujuh,Klang dan Petaling,active,,,
Jalan Kilang Ubi,0,106.0,106.0,Jalan Kilang Ubi,Jalan Kilang Ubi,Seberang Perai Tengah,active,,,
Jalan Perindustrian Lima,0,15.0,15.0,Jalan Perindustrian Lima,Jalan Perindustrian Lima,Muar,active,,,
Bandar Jalan Putra,0,15.0,15.0,Bandar Jalan Putra,Bandar Jalan Putra,Kuantan,active,,,
Simpang Juasseh,3,91.0,88.0,Simpang Juasseh,Simpang Juasseh,"Jempol, Kuala Pilah dan Seremban",active,3.0,,
Jarum Laut,9,61.0,52.0,Jarum Laut,Jarum Laut,Tangkak,active,,,
Bukit Temedak,0,30.0,30.0,Bukit Temedak,Bukit Temedak,Pakan,active,,,
Kampung Paroh,2,32.0,30.0,Kampung Paroh,Kampung Paroh,Besut,active,,,
Jalan Mangga,13,33.0,20.0,Jalan Mangga,Jalan Mangga,Kota Kinabalu,active,,,
Kampung Jakar,0,13.0,13.0,Kampung Jakar,Kampung Jakar,Machang,active,,,
Taman Sourabaya Indah,0,9.0,9.0,Taman Sourabaya Indah,Taman Sourabaya Indah,Kuching,active,,,
Kampung Panggong,4,20.0,16.0,Kampung Panggong,Kampung Panggong,Pasir Puteh,active,1.0,,
Permai Sejahtera,1,89.0,88.0,Permai Sejahtera,Permai Sejahtera,Lipis dan Kuantan,active,,,
Terendak Permai,10,79.0,69.0,Terendak Permai,Terendak Permai,Melaka Tengah,active,,,
Dah Seri Perigi,0,35.0,35.0,Dah Seri Perigi,Dah Seri Perigi,Yan,active,,,
Taman Majupadu,1,28.0,27.0,Taman Majupadu,Taman Majupadu,Kluang,active,1.0,,
Jalan Desa Satu,2,34.0,32.0,Jalan Desa Satu,Jalan Desa Satu,Kuala Selangor,active,,,
Parit Dato Onn,0,22.0,22.0,Parit Dato Onn,Parit Dato Onn,Pontian,active,,,
