state,district,zhDistrict,districtNe,districtMm,districtBe,confirmed,ytdConfirmed,new,dateUpdate,activeCases,ytdActive,newActive,activeDateUpdate,fourteen,YTDfourteen,newFourteen
Johor,Johor Bahru,新山,जोहोर बहरू,ဂျိုဟိုး ဘာရူး,জোহর ভরু,,,0.0,2021-01-08,,,0.0,2020-12-23,1412,1376,36
Johor,Kluang,居銮,क्लुंग,Kluang,কোয়াং,,,0.0,2021-01-08,,,0.0,2020-12-23,172,164,8
Johor,Batu Pahat,峇株巴辖,बातु पहात,ဘာတု့ ပါဟတ်,বাতু পাহাট,1032.0,1032.0,0.0,2021-01-08,,,0.0,2020-12-22,219,218,1
Johor,Muar,麻坡,मुआर,မွှား ,মুয়ার,52.0,52.0,0.0,2020-04-26,,,0.0,2020-12-23,1051,987,64
Johor,Kulai,古来,कूलाई,ကူလိုင်း ,কোলাই।,,,0.0,2021-01-08,,,0.0,2020-12-23,365,371,-6
Johor,Pontian,笨珍,पोंतियन,Pontian,পনটেইন,220.0,220.0,0.0,2020-12-20,,,0.0,2020-12-23,403,398,5
Johor,Kota Tinggi,哥打丁宜,कोता  तिन्ग्गी,ကိုတာ တင်ဂီ,কোটা টিঙ্গি,,,0.0,2020-12-13,,,0.0,2020-12-23,93,105,-12
Johor,Segamat,昔加末,सेगामत,Segamat,সেগামাত,,,0.0,2021-01-08,,,0.0,2020-12-21,206,201,5
Johor,Mersing,丰盛港,मेर्सिंग,မာစင်း ,মারসিং,,,0.0,2020-11-21,,,0.0,2021-01-07,109,112,-3
Johor,Tangkak,东甲,तन्ग्काक,Tangkak,টেংকাক,,,0.0,2021-01-08,,,0.0,2020-12-23,563,546,17
Johor,All,All,All,All,All,1304.0,1304.0,0.0,2021-01-08,5385.0,5385.0,0.0,2021-01-08,4593,4478,115
Kedah,Kuala Muda,瓜拉姆达,कुअला मुडा,ကွာလာ မူဒါ့,কোলা মুডা,356.0,356.0,0.0,2021-01-09,108.0,108.0,0.0,2021-01-09,1994,1823,171
Kedah,Kota Setar,哥打士打,कोता षेतर,ကိုတာ ဆတား ,কোটা সেতার,2145.0,2145.0,0.0,2020-12-27,154.0,154.0,0.0,2020-12-27,286,264,22
Kedah,Kubang Pasu,古邦巴素,कुबांग पशु,Kubang Pasu,কোবাংপাসু,159.0,159.0,0.0,2021-01-08,16.0,16.0,0.0,2021-01-09,38,45,-7
Kedah,Kulim,居林,कुलिम,Kulim,কলিম,584.0,584.0,0.0,2021-01-09,102.0,102.0,0.0,2021-01-07,521,517,4
Kedah,Pendang,本同,पेंदांग,Pendang,পেনডাং,27.0,27.0,0.0,2021-01-09,14.0,14.0,0.0,2021-01-08,95,96,-1
Kedah,Baling,华玲,बलिंग,Baling,বালিং,169.0,169.0,0.0,2021-01-09,48.0,48.0,0.0,2021-01-08,159,141,18
