date,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,60.0,0.0,60.0,60.0,0.0,60.0
2021-02-25,1153.0,0.0,1153.0,1213.0,0.0,1213.0
2021-02-26,4086.0,0.0,4086.0,5299.0,0.0,5299.0
2021-02-27,6712.0,0.0,6712.0,12011.0,0.0,12011.0
2021-02-28,6683.0,3.0,6686.0,18694.0,3.0,18697.0
2021-03-01,15357.0,4.0,15361.0,34051.0,7.0,34058.0
2021-03-02,21658.0,4.0,21662.0,55709.0,11.0,55720.0
2021-03-03,22636.0,5.0,22641.0,78345.0,16.0,78361.0
2021-03-04,19527.0,10.0,19537.0,97872.0,26.0,97898.0
2021-03-05,14128.0,2.0,14130.0,112000.0,28.0,112028.0
2021-03-06,15348.0,1.0,15349.0,127348.0,29.0,127377.0
2021-03-07,12349.0,2.0,12351.0,139697.0,31.0,139728.0
2021-03-08,26808.0,3.0,26811.0,166505.0,34.0,166539.0
2021-03-09,29735.0,2.0,29737.0,196240.0,36.0,196276.0
2021-03-10,28436.0,1.0,28437.0,224676.0,37.0,224713.0
2021-03-11,26144.0,0.0,26144.0,250820.0,37.0,250857.0
2021-03-12,26045.0,1.0,26046.0,276865.0,38.0,276903.0
2021-03-13,16653.0,0.0,16653.0,293518.0,38.0,293556.0
2021-03-14,9866.0,0.0,9866.0,303384.0,38.0,303422.0
2021-03-15,19996.0,1.0,19997.0,323380.0,39.0,323419.0
2021-03-16,25310.0,3.0,25313.0,348690.0,42.0,348732.0
2021-03-17,20761.0,60.0,20821.0,369451.0,102.0,369553.0
2021-03-18,17296.0,745.0,18041.0,386747.0,847.0,387594.0
2021-03-19,10726.0,3742.0,14468.0,397473.0,4589.0,402062.0
2021-03-20,7717.0,6026.0,13743.0,405190.0,10615.0,415805.0
2021-03-21,9697.0,5765.0,15462.0,414887.0,16380.0,431267.0
2021-03-22,9718.0,14487.0,24205.0,424605.0,30867.0,455472.0
2021-03-23,8310.0,20841.0,29151.0,432915.0,51708.0,484623.0
2021-03-24,6314.0,22701.0,29015.0,439229.0,74409.0,513638.0
2021-03-25,6433.0,19287.0,25720.0,445662.0,93696.0,539358.0
2021-03-26,3924.0,12547.0,16471.0,449586.0,106243.0,555829.0
2021-03-27,1701.0,14086.0,15787.0,451287.0,120329.0,571616.0
2021-03-28,3650.0,12658.0,16308.0,454937.0,132987.0,587924.0
2021-03-29,7653.0,26754.0,34407.0,462590.0,159741.0,622331.0
2021-03-30,11403.0,28961.0,40364.0,473993.0,188702.0,662695.0
2021-03-31,9523.0,27020.0,36543.0,483516.0,215722.0,699238.0
2021-04-01,15667.0,26382.0,42049.0,499183.0,242104.0,741287.0
2021-04-02,7599.0,22839.0,30438.0,506782.0,264943.0,771725.0
2021-04-03,2410.0,14436.0,16846.0,509192.0,279379.0,788571.0
2021-04-04,5576.0,8714.0,14290.0,514768.0,288093.0,802861.0
2021-04-05,9196.0,19099.0,28295.0,523964.0,307192.0,831156.0
2021-04-06,10978.0,21516.0,32494.0,534942.0,328708.0,863650.0
2021-04-07,12567.0,18020.0,30587.0,547509.0,346728.0,894237.0
2021-04-08,11995.0,14707.0,26702.0,559504.0,361435.0,920939.0
2021-04-09,7194.0,14300.0,21494.0,566698.0,375735.0,942433.0
